CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UPP,MDA,LIBRE-PANDO,FRI,MTS,NGP,MNR,FSUTCP
1,Nicolás Suárez,1,Cobija,2773,Cobija,26078,U. E. Alfredo Ovando Candia,9001711,3,,15,21,1,2,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001191,1,,17,64,10,7,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001201,2,,17,54,9,8,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001211,3,,24,48,6,2,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001221,4,,22,52,8,7,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001231,5,,29,45,10,7,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001241,6,,21,57,8,9,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001251,7,,22,60,6,10,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001261,8,,16,61,13,10,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001271,9,,6,18,3,5,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32492,U.E. El Castañal,9001721,1,,23,63,9,16,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,32492,U.E. El Castañal,9001731,2,,3,8,0,4,3,0,0
1,Nicolás Suárez,1,Cobija,4277,Mejillones,25963,U.E. Mejillones,9000171,1,,49,36,13,5,5,0,0
1,Nicolás Suárez,1,Cobija,4278,Villa Rosario,25964,U. E. María Barzola,9000181,1,,14,69,17,9,0,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,14,U.E. Mons. Santisteban,9001741,1,,39,17,1,6,15,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,14,U.E. Mons. Santisteban,9001751,2,,32,29,0,4,13,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,14,U.E. Mons. Santisteban,9001761,3,,35,28,2,4,15,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,14,U.E. Mons. Santisteban,9001771,4,,24,29,4,7,21,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,14,U.E. Mons. Santisteban,9001781,5,,31,36,2,6,19,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,14,U.E. Mons. Santisteban,9001791,6,,28,17,5,4,20,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,14,U.E. Mons. Santisteban,9001801,7,,33,17,0,6,12,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,15,U.E. Bruno Racua,9001811,1,,42,33,2,5,19,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,15,U.E. Bruno Racua,9001821,2,,42,19,5,9,13,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,15,U.E. Bruno Racua,9001831,3,,32,29,5,4,22,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,15,U.E. Bruno Racua,9001841,4,,32,23,1,2,18,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,15,U.E. Bruno Racua,9001851,5,,28,25,2,5,19,0,0
1,Nicolás Suárez,2,Porvenir,1113,Porvenir,15,U.E. Bruno Racua,9001861,6,,40,13,0,4,27,0,0
1,Nicolás Suárez,2,Porvenir,1115,Villa Bella (km 6),15,U.E. Villa Bella,9001871,1,,34,39,4,7,3,0,0
