CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,NGP,FRI,CHR,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005387,12,27,29,3,10,6,14,7,26,,,11,39,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005397,13,44,30,7,16,6,5,1,15,,,8,33,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005407,14,38,32,9,25,3,10,5,7,,,12,27,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005417,15,48,28,1,14,6,9,6,15,,,6,34,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005427,16,32,34,4,21,1,12,8,20,,,6,28,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005437,17,32,34,3,17,6,4,14,14,,,12,31,2
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005447,18,33,32,10,21,4,5,7,16,,,10,33,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005457,19,32,29,7,16,4,4,8,20,,,11,28,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005467,20,33,27,1,26,5,16,6,22,,,8,20,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005477,21,29,32,10,19,7,3,7,15,,,9,36,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005487,22,41,31,6,15,9,10,5,15,,,2,25,2
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005497,23,37,32,5,17,3,7,5,26,,,9,23,12
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005507,24,26,35,5,10,6,8,7,22,,,13,30,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005517,25,12,15,5,9,5,0,5,12,,,9,15,4
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003197,1,48,55,4,20,4,4,4,26,,,5,13,11
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003207,2,54,34,5,24,8,6,2,19,,,3,31,8
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003217,3,48,39,8,18,2,3,8,27,,,8,29,13
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003227,4,44,40,5,24,3,6,3,28,,,7,26,5
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003237,5,49,41,3,24,3,3,4,20,,,7,32,13
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003247,6,24,16,3,12,0,5,4,4,,,2,9,2
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000967,1,50,51,8,14,6,8,6,21,,,7,26,7
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000977,2,44,36,0,22,5,4,9,25,,,5,18,11
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000987,3,38,28,6,24,5,5,6,30,,,11,13,11
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000997,4,48,27,7,27,4,7,10,25,,,8,28,8
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001007,5,56,35,6,9,8,5,7,16,,,11,26,5
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001017,6,42,33,6,24,10,6,11,18,,,4,20,8
