CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,NGP,CDC,PDC,ISA,APB-SUMATE,A-UPP
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001291,1,40,11,2,78,13,3,,1
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001301,2,47,8,4,67,14,3,,1
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001311,3,57,11,2,72,16,0,,2
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001321,4,49,9,6,73,14,0,,3
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001331,5,55,5,7,74,17,3,,0
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001341,6,21,3,2,33,8,0,,0
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005251,1,59,12,9,50,20,5,,4
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005261,2,53,9,3,80,16,5,,2
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005271,3,53,5,1,59,17,3,,3
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005281,4,41,12,9,49,20,3,,8
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005291,5,53,8,5,55,28,3,,1
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005301,6,72,5,11,45,21,6,,3
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005311,7,38,5,5,58,15,5,,4
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005321,8,58,11,3,54,29,2,,4
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005331,9,48,12,8,58,14,3,,2
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005341,10,59,7,6,53,23,0,,3
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005351,11,70,5,6,51,14,4,,1
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005361,12,49,7,7,67,15,3,,1
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005371,13,56,4,5,76,16,2,,4
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005381,14,37,8,4,61,23,2,,3
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004611,1,61,9,5,60,24,3,,3
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004621,2,44,6,8,62,16,6,,2
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004631,3,47,9,2,54,19,3,,1
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004641,4,38,13,3,55,12,4,,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004651,5,40,8,6,59,20,4,,1
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004661,6,44,16,3,61,19,1,,6
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004671,7,46,8,2,64,18,5,,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004681,8,43,8,5,57,20,2,,1
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004691,9,43,11,2,67,30,2,,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004701,10,50,7,7,65,17,1,,1
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004711,11,41,4,8,57,22,6,,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004721,12,36,6,4,67,12,2,,1
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004731,13,45,12,5,60,23,7,,2
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004741,14,53,12,8,59,17,2,,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004751,15,52,13,8,57,18,3,,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004761,16,71,6,8,53,17,0,,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004771,17,6,0,0,9,1,0,,0
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004091,1,56,1,5,69,15,1,,5
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004101,2,58,5,2,59,18,2,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004111,3,51,11,3,75,17,2,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004121,4,63,6,5,65,22,2,,3
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004131,5,49,7,12,44,12,4,,2
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004141,6,46,4,2,79,13,3,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004151,7,63,11,3,68,12,0,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004161,8,56,8,5,66,16,2,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004171,9,63,9,3,62,19,3,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004181,10,62,17,8,51,10,2,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004191,11,53,11,3,66,19,3,,3
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004201,12,46,9,3,81,12,2,,4
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004211,13,53,6,3,55,20,2,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004221,14,44,7,6,72,20,2,,4
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004231,15,59,11,3,55,11,2,,0
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004241,16,48,6,9,68,18,1,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004251,17,57,5,4,61,16,2,,3
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004261,18,56,5,6,76,14,3,,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004271,19,33,2,0,38,10,3,,2
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6004981,1,52,11,6,45,20,5,,6
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6004991,2,36,12,5,64,13,10,,1
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005001,3,42,5,6,52,13,5,,4
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005011,4,38,3,11,49,19,7,,1
