CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,UN,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003117,8,,10,4,7,10,13,16,2,11,,,1,130,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003127,9,,13,3,13,14,7,18,1,17,,,1,113,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003137,10,,12,5,6,10,7,10,4,19,,,4,123,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003147,11,,11,3,3,9,2,14,1,18,,,8,136,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003157,12,,14,2,6,7,8,9,5,13,,,6,128,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003167,13,,10,2,5,9,6,9,3,13,,,3,140,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003177,14,,14,2,7,14,8,11,1,15,,,1,114,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003187,15,,8,4,6,7,8,11,2,14,,,1,150,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003197,16,,13,3,8,9,5,9,3,6,,,3,146,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003207,17,,14,5,6,9,9,18,1,15,,,0,114,,,,,,,,
