CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,ISA,AIR,APB-SUMATE,SOMOSCHACO,PATRIA,NGP,PDC,MTS,UNIR,MATE,T
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010846,2,4,20,7,8,41,4,13,41,1,15,16
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010856,3,12,22,5,11,43,1,12,51,7,12,13
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010866,4,11,19,7,9,35,3,10,28,3,14,18
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010876,5,12,15,9,14,46,5,6,37,5,9,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010886,6,17,16,5,11,50,3,17,32,7,9,8
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010896,7,16,14,2,4,48,3,8,43,3,10,14
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010906,8,6,19,4,6,52,5,10,44,7,14,14
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010916,9,9,21,4,10,51,1,6,34,10,10,8
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010926,10,6,10,3,14,41,8,12,30,6,13,21
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,23,U.E. German Busch,6010936,11,7,9,3,4,20,2,5,11,2,5,8
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010946,1,10,14,1,10,48,6,12,25,4,21,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010956,2,22,11,5,11,34,4,15,34,7,7,17
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010966,3,6,21,3,12,38,2,13,41,1,12,17
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010976,4,13,27,1,10,38,3,20,43,2,8,12
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010986,5,12,20,1,10,32,6,20,28,0,11,12
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010996,6,7,20,3,5,34,0,14,44,3,16,11
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6011006,7,6,18,1,15,33,3,12,33,5,7,13
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6011016,8,6,7,1,3,16,1,5,9,1,6,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012606,1,5,14,2,11,29,5,13,26,17,14,9
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012616,2,9,13,4,7,24,4,11,23,19,14,8
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012626,3,7,17,1,14,34,1,9,39,7,7,8
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012636,4,2,5,0,4,10,1,1,6,2,2,0
