CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003162,11,13,8,3,26,28,2,99,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003172,12,27,12,7,29,24,5,73,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003182,13,19,14,3,22,30,1,91,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003192,14,20,8,3,22,29,4,84,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003202,15,11,4,4,11,10,1,22,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001102,1,29,6,7,23,17,4,72,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001112,2,19,9,8,25,21,3,80,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001122,3,16,9,11,30,21,5,59,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001132,4,24,13,10,21,18,1,69,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001142,5,26,12,6,26,21,3,62,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001152,6,28,10,13,21,20,4,68,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001162,7,26,12,8,28,17,7,57,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001172,8,27,7,5,19,18,2,67,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001182,9,24,6,10,32,27,3,61,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001192,10,22,10,8,22,23,4,74,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001202,11,22,9,10,25,12,1,75,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001212,12,14,7,11,27,16,3,46,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002302,1,15,12,4,22,19,1,85,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002312,2,15,12,4,23,22,1,83,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002322,3,16,10,8,25,22,4,69,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002332,4,14,12,4,31,25,2,67,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002342,5,20,17,6,28,20,2,78,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002352,6,17,11,3,23,22,4,81,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002362,7,24,21,2,20,16,5,79,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002372,8,13,10,7,18,26,3,70,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002382,9,19,8,6,27,23,3,86,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002392,10,13,7,8,15,21,0,69,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002662,1,27,9,8,21,23,1,62,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002672,2,19,15,9,26,30,2,59,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002682,3,21,16,9,31,17,3,52,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002692,4,21,11,8,28,16,2,59,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002702,5,18,16,6,22,17,4,62,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002712,6,19,10,7,19,20,3,63,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002722,7,17,7,8,30,21,1,53,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002732,8,27,8,13,25,15,5,62,
