CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003801,6,84,93
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003811,7,115,73
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003821,8,99,81
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003831,9,105,81
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003841,10,98,77
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003851,11,107,75
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003861,12,105,78
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003871,13,100,93
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003881,14,97,89
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003891,15,102,78
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003901,16,104,70
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003911,17,92,100
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003921,18,126,73
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003931,19,96,94
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003941,20,100,84
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003951,21,101,89
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003961,22,49,57
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001141,1,112,69
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001151,2,109,74
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001161,3,108,75
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001171,4,117,68
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001181,5,50,25
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000701,1,121,64
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000711,2,119,63
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000721,3,118,58
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000731,4,118,62
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000741,5,111,69
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000751,6,108,60
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000761,7,103,42
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000771,1,92,87
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000781,2,98,77
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000791,3,125,59
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000801,4,104,65
