CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001267,7,3,0,16,2,,103,0,62,,2,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001277,8,1,0,22,4,,96,0,66,,2,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001287,9,2,0,4,1,,41,0,37,,0,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001357,1,8,0,17,5,,108,0,52,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001367,2,6,0,19,3,,118,0,51,,0,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001377,3,8,0,22,4,,94,0,46,,2,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001387,4,5,0,9,9,,113,0,60,,0,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001397,5,5,0,12,2,,112,0,60,,2,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001407,6,1,0,20,5,,113,0,54,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001417,7,7,0,19,4,,94,0,66,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001427,8,4,0,23,4,,108,0,50,,2,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001437,9,1,0,14,3,,113,0,58,,0,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001447,10,1,0,9,4,,49,0,29,,1,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000957,1,4,0,17,1,,127,0,44,,2,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000967,2,0,0,21,4,,114,0,43,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000977,3,2,0,12,2,,101,0,54,,3,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000987,4,6,0,19,1,,134,0,40,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000997,5,2,0,13,4,,125,0,43,,2,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001007,6,2,0,14,6,,122,0,47,,3,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001017,7,5,0,20,4,,108,0,48,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001027,8,6,0,17,2,,104,0,42,,2,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001037,9,5,0,19,6,,102,0,59,,0,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001047,10,4,0,12,3,,116,0,55,,4,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001057,11,6,0,15,2,,111,0,55,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001067,12,7,0,22,3,,111,0,58,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001077,13,10,0,20,4,,120,0,41,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001087,14,0,0,2,1,,26,0,3,,0,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002077,1,7,0,21,4,,113,0,50,,2,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002087,2,2,0,14,2,,119,0,44,,3,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002097,3,4,0,19,2,,105,0,55,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002107,4,2,0,16,5,,111,0,53,,1,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002117,5,1,0,22,5,,119,0,55,,2,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002127,6,4,0,15,6,,126,0,41,,2,,,,4,,
