CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MNR,PATRIA-UNIDOS
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002661,1,80,101
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002671,2,77,100
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002681,3,99,78
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002691,4,94,89
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002701,5,85,82
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002711,6,81,89
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002721,7,80,92
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002731,8,80,97
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002741,9,85,88
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002751,10,74,86
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002761,11,81,97
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002771,12,81,102
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002781,13,82,87
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002791,14,78,79
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002801,15,72,82
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002811,16,81,90
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002821,17,20,29
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003421,1,76,107
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003431,2,67,114
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003441,3,82,104
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003451,4,81,112
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003461,5,78,104
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003471,6,81,107
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003481,7,84,97
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003491,8,87,101
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003501,9,81,90
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003511,10,81,100
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003521,11,87,98
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003531,12,70,98
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003541,13,51,119
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003551,14,64,107
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003561,15,40,71
