CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017211,4,3,8,16,21,3,6,2,0,13,63
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017221,5,1,10,20,12,3,4,3,2,16,70
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017231,6,5,11,22,20,5,6,5,3,19,60
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017241,7,3,6,21,18,3,5,3,5,12,59
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017251,8,3,7,18,17,9,6,1,5,18,55
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017261,9,3,8,24,15,4,7,2,2,5,65
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017271,10,0,5,19,18,2,5,3,4,16,91
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017281,11,5,5,9,11,1,5,0,3,12,38
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000591,1,1,7,15,18,3,5,2,0,17,75
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000601,2,0,6,19,14,1,5,4,3,10,91
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000611,3,2,4,11,18,2,5,2,3,14,93
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000621,4,2,7,18,17,3,15,7,5,14,67
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000631,5,3,14,20,15,4,5,6,3,11,79
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000641,6,3,12,26,14,0,7,1,5,9,73
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000651,7,2,16,24,22,1,8,0,2,9,59
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000661,8,1,12,22,11,0,6,4,4,16,69
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000671,9,4,12,11,14,2,8,5,5,13,82
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000681,10,1,11,20,22,6,8,3,4,5,64
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000691,11,2,11,17,17,6,6,4,3,12,77
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000701,12,3,12,12,23,4,6,3,2,4,71
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000711,13,1,11,22,14,5,6,2,5,17,77
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000721,14,1,4,16,15,3,10,2,3,15,76
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000731,15,3,6,22,16,1,7,5,1,12,102
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000741,16,1,14,12,17,6,5,3,4,13,68
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000751,17,0,7,24,16,1,12,5,1,13,75
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000761,18,3,11,15,21,2,10,5,6,8,66
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000771,19,1,4,15,19,4,4,4,1,10,88
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000781,20,4,10,11,10,7,10,5,2,19,74
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000791,21,4,3,23,18,4,0,3,0,5,77
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000801,22,1,16,25,30,6,6,4,2,8,91
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000811,23,3,6,19,4,3,0,2,2,9,47
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001131,1,3,10,17,14,1,4,3,0,10,74
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001141,2,3,8,13,14,3,4,11,5,6,77
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001151,3,2,7,23,17,1,6,2,0,12,78
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001161,4,8,8,18,16,4,9,2,4,6,68
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001171,5,0,11,19,15,5,7,3,3,9,69
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001181,6,0,11,26,10,1,7,3,2,11,56
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001191,7,1,6,24,12,1,7,3,3,14,76
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001201,8,4,5,24,16,4,4,1,3,10,63
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001211,9,2,11,17,19,0,6,2,2,11,75
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001221,10,3,9,12,12,4,10,2,3,4,77
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001231,11,0,8,22,17,3,8,3,1,8,75
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001241,12,2,6,17,12,4,9,6,6,10,80
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001251,13,3,10,21,14,1,6,8,4,14,87
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001261,14,3,17,19,17,9,7,5,2,16,81
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001271,15,2,6,11,6,1,6,1,0,3,33
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000421,1,3,5,16,15,3,8,3,4,10,50
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000431,2,2,11,24,23,0,4,4,0,12,62
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000441,3,1,4,16,22,5,5,3,3,24,65
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000451,4,2,7,16,20,2,6,1,4,19,65
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000461,5,2,7,20,20,4,5,5,1,17,49
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000471,6,6,10,13,16,7,7,6,3,19,45
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000481,7,3,12,15,14,1,6,4,6,12,56
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000491,8,4,10,15,16,5,8,4,1,10,74
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000501,9,5,8,15,20,8,4,2,5,13,64
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000511,10,1,4,15,19,3,3,3,5,15,73
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000521,11,2,12,19,15,4,5,1,1,12,81
