CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002812,16,11,12,11,15,20,1,52,2
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002822,17,8,2,3,2,2,2,15,0
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003422,1,12,3,4,21,15,3,62,0
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003432,2,14,8,1,27,15,1,57,0
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003442,3,24,3,6,23,14,7,50,3
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003452,4,19,4,5,17,15,3,82,1
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003462,5,17,8,5,24,20,5,61,0
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003472,6,14,12,5,25,19,3,66,3
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003482,7,9,6,4,26,23,3,51,1
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003492,8,15,10,3,22,16,8,64,0
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003502,9,13,5,5,15,20,2,56,5
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003512,10,14,9,5,21,16,3,61,1
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003522,11,11,12,6,30,11,6,47,3
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003532,12,12,7,6,19,25,7,60,1
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003542,13,11,3,2,13,14,4,69,1
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003552,14,11,8,7,21,18,2,74,1
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003562,15,12,8,5,13,12,3,41,0
1,Cercado,1,Trinidad,2526,Trinidad,29,(Cárcel) Cárcel De Mujeres,8000842,1,4,2,1,5,1,1,13,0
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002582,1,9,4,3,18,25,2,95,1
