CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,JACHAJAKISASOLFESORC,AORA,PATRIA-ORURO,A-UPP,NGP,LIBRE,PDC,UN,APB-SUMATE,P.P.,FRI
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000691,6,3,9,37,1,13,9,10,43,,9,13,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000701,7,3,1,8,1,3,1,3,15,,1,1,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006431,1,7,13,32,8,19,7,8,33,,8,11,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006441,2,3,17,36,4,12,15,6,33,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006451,3,5,14,36,8,15,13,13,27,,7,8,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006461,4,3,18,29,6,20,7,8,48,,6,11,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006471,5,1,18,30,2,17,2,14,29,,11,12,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006481,6,4,12,43,4,22,6,10,42,,8,3,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006491,7,2,21,23,7,20,12,7,27,,2,6,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006501,8,6,10,34,9,22,8,13,38,,6,6,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006511,9,2,12,27,1,9,8,3,30,,6,6,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006521,10,2,20,45,6,22,8,16,31,,7,8,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006531,11,4,13,25,5,17,6,17,33,,10,8,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006541,12,1,20,33,2,18,7,12,38,,8,10,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006551,13,8,12,34,9,22,9,13,27,,11,15,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006561,14,4,16,25,6,18,7,8,45,,4,11,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006571,15,1,2,18,1,4,1,2,4,,3,2,,
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006581,1,1,15,40,7,17,7,13,27,,10,10,,
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006591,2,3,16,29,12,23,5,10,34,,8,6,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006601,1,6,12,28,4,21,3,15,39,,6,10,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006611,2,6,18,43,4,21,5,15,31,,3,8,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006621,3,3,13,35,8,21,8,7,34,,9,10,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006631,4,5,14,23,7,31,11,11,27,,9,15,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006641,5,5,22,32,6,10,7,17,36,,3,3,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006651,6,6,26,37,6,16,7,12,28,,6,11,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006661,7,4,17,29,9,19,11,12,36,,6,8,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006671,8,6,26,30,5,14,6,13,33,,7,16,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006681,9,6,16,27,8,20,6,10,37,,6,14,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006691,10,5,14,34,7,33,5,11,30,,6,7,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006701,11,5,11,26,3,12,5,11,19,,3,5,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006711,1,5,19,36,9,15,7,9,36,,8,7,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006721,2,13,16,32,6,13,12,11,25,,6,10,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006731,3,7,16,27,5,19,10,13,31,,7,4,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006741,4,6,22,31,7,19,5,10,28,,6,9,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006751,5,6,10,24,5,14,7,12,28,,4,11,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006761,6,7,16,35,11,11,8,9,31,,8,8,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006771,7,6,17,32,14,16,7,10,17,,10,5,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006781,8,1,9,12,3,7,3,4,15,,5,2,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002581,1,4,16,34,9,6,4,6,27,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002591,2,3,22,22,10,13,8,7,26,,1,7,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002601,3,5,19,34,5,10,10,12,23,,7,9,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002611,4,11,12,37,6,24,5,20,23,,7,12,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002621,5,10,15,48,7,10,8,10,23,,4,11,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002631,6,4,10,37,11,16,7,19,24,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002641,7,1,19,31,11,5,7,19,33,,7,5,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002651,8,5,18,28,5,16,8,18,28,,11,8,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002661,9,2,16,33,12,9,5,11,33,,6,5,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002671,10,6,14,34,12,10,10,12,28,,4,4,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002681,11,9,15,23,8,11,9,20,30,,2,10,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002691,12,10,16,39,10,13,9,15,36,,5,9,,
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002701,13,4,5,5,1,1,3,10,13,,0,2,,
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002711,1,4,10,21,25,7,8,14,6,,2,9,,
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002721,2,3,7,19,26,5,15,6,8,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002731,3,1,7,18,14,8,14,7,13,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002741,4,1,2,6,10,0,3,4,3,,3,4,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002751,1,2,22,36,6,15,10,8,22,,10,12,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002761,2,2,12,31,9,12,12,11,19,,8,7,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002771,3,2,23,33,5,13,8,15,30,,7,6,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002781,4,9,8,40,9,10,9,10,18,,5,9,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002791,5,3,14,30,15,10,5,10,19,,9,13,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002801,6,5,15,38,4,21,9,7,29,,2,8,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002811,7,6,10,34,8,19,8,18,24,,6,7,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002821,8,5,20,35,5,14,9,12,19,,4,11,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002831,9,8,28,24,7,17,8,15,26,,9,4,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002841,10,5,19,31,6,10,13,8,16,,4,6,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002851,11,5,17,29,7,16,4,14,24,,7,7,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002861,12,5,17,34,4,14,8,16,33,,5,9,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002871,13,9,22,28,11,19,6,15,27,,5,6,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002881,14,9,12,25,9,13,2,10,29,,7,7,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002891,15,5,7,32,7,23,8,17,21,,4,9,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002901,16,3,16,32,8,13,13,14,29,,7,11,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002911,17,2,4,10,1,4,0,2,14,,2,1,,
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001831,1,9,21,28,12,14,7,11,15,,3,5,,
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001841,2,8,22,30,15,6,6,9,16,,8,8,,
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001851,3,3,17,33,12,9,11,14,16,,6,6,,
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001861,4,4,20,18,7,11,7,7,13,,6,6,,
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001871,5,9,30,26,11,6,5,13,16,,7,13,,
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001881,6,8,23,16,8,6,4,12,10,,2,3,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002921,1,3,7,27,4,19,9,16,34,,7,9,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002931,2,7,13,21,5,20,9,20,24,,8,6,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002941,3,5,21,33,6,14,8,14,23,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002951,4,3,17,21,11,12,6,5,35,,8,15,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002961,5,4,9,40,5,13,5,8,28,,9,12,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002971,6,4,16,26,8,15,11,10,30,,6,20,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002981,7,2,14,28,11,20,10,20,35,,8,6,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002991,8,3,11,30,3,16,9,19,42,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4003001,9,4,13,27,7,25,9,18,44,,11,7,,
