CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,PATRIA-UNIDOS,A.S.,MNR,NGP,APP,LIBRE,DEMOCRATAS,A-UPP,APB-SUMATE,UN,CAOP,PDC
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002601,12,5,41,87,2,2,30,3,0,4,2,0,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002611,13,0,42,95,4,0,33,0,0,6,1,0,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002621,14,1,38,95,3,1,37,3,0,2,2,2,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002631,15,2,42,86,1,3,19,3,1,5,3,1,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002641,16,2,48,83,1,1,25,5,3,7,3,1,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002651,17,1,50,74,4,0,23,4,1,3,5,1,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002661,18,0,13,18,1,0,4,3,1,2,2,2,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001911,1,2,42,99,2,4,34,1,2,2,0,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001921,2,4,29,106,1,1,43,0,0,2,3,2,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001931,3,0,32,112,7,0,26,1,0,4,3,1,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001941,4,2,34,109,2,2,32,3,1,2,3,4,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001951,5,0,42,104,2,4,28,3,1,5,2,2,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001961,6,2,52,100,2,1,22,2,1,9,2,2,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001971,7,3,37,120,3,4,32,1,1,5,4,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001981,8,1,44,94,3,2,30,2,1,3,3,1,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001991,9,2,21,96,2,0,34,0,3,2,2,2,2,6
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002001,10,1,37,109,1,1,36,3,0,5,1,0,4,0
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002011,11,1,37,99,3,1,37,2,1,5,2,0,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002021,12,2,44,124,2,2,26,2,1,2,0,2,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002031,13,3,43,97,3,2,38,3,1,2,2,0,1,1
