CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DESPIERTA,PATRIA-UNIDOS,TUFE,MNR,NGP,CPEM-B,A-UPP
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003102,5,9,16,84,22,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003112,6,5,34,89,20,,4,4,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003122,7,5,22,96,19,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003132,8,20,17,79,21,,1,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003142,9,6,20,75,32,,3,6,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003152,10,11,14,75,30,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003162,11,13,25,104,11,,3,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003172,12,10,17,84,27,,2,4,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003182,13,7,27,100,21,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003192,14,10,22,99,21,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003202,15,5,9,32,8,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001102,1,5,13,82,30,,5,5,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001112,2,13,21,81,22,,5,1,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001122,3,17,17,65,19,,7,4,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001132,4,8,12,81,28,,5,3,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001142,5,11,18,71,27,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001152,6,20,18,61,31,,9,1,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001162,7,16,13,62,26,,5,7,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001172,8,9,17,71,30,,4,1,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001182,9,10,25,62,30,,4,6,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001192,10,8,22,80,27,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001202,11,13,14,80,25,,3,1,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001212,12,10,18,54,13,,2,4,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002302,1,15,14,96,14,,2,2,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002312,2,16,17,86,18,,1,1,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002322,3,15,18,82,18,,2,6,
