CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,P.P.,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002757,1,4,6,36,3,10,0,53,6,22,,10,,0,,,,1,7,6,17
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002767,2,4,12,37,2,6,0,43,9,12,,5,,0,,,,1,14,13,13
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002777,3,4,10,47,0,7,3,50,8,18,,13,,0,,,,0,8,6,9
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002787,4,6,11,43,2,18,3,51,6,20,,5,,0,,,,1,5,3,6
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002797,5,12,14,43,3,6,0,44,3,21,,8,,0,,,,3,7,3,8
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002807,6,6,15,36,1,4,2,60,8,13,,16,,0,,,,1,13,6,13
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002817,7,5,6,42,0,16,2,60,8,4,,14,,0,,,,1,9,11,9
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002827,8,6,9,31,1,12,2,48,5,13,,16,,0,,,,2,8,4,18
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002837,9,7,13,36,0,8,0,57,6,19,,12,,0,,,,0,12,7,14
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002847,10,9,15,38,3,4,4,57,8,9,,10,,0,,,,3,10,9,11
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002857,11,8,10,38,1,4,3,42,6,15,,22,,0,,,,2,4,11,6
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002867,12,4,12,43,3,2,1,53,11,21,,12,,0,,,,0,7,13,9
