CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,FRI,CHR,NGP,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004387,6,40,36,3,20,4,2,15,7,,,8,17,14
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004397,7,38,35,2,23,5,5,15,9,,,3,14,17
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004407,8,25,38,4,35,2,4,15,8,,,7,10,7
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004417,9,31,42,6,29,3,6,16,7,,,3,14,9
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004427,10,34,36,2,35,5,1,11,7,,,6,16,12
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004437,11,38,27,1,32,4,3,16,4,,,3,14,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004447,12,41,35,3,19,4,5,15,12,,,7,11,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004457,13,51,23,6,19,1,10,7,4,,,5,9,13
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004467,14,29,27,1,30,3,5,17,13,,,7,20,15
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004477,15,29,39,1,32,1,7,15,4,,,6,12,8
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004487,16,39,26,5,40,2,7,14,4,,,5,15,10
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004497,17,4,6,3,8,0,2,4,1,,,4,4,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003757,1,24,31,8,16,3,6,10,7,,,11,12,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003767,2,36,30,8,20,8,6,10,3,,,8,23,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003777,3,30,33,4,17,6,4,13,9,,,7,19,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003787,4,30,33,3,15,7,9,11,4,,,5,25,2
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003797,5,25,16,8,7,8,6,10,7,,,9,13,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003807,6,24,34,3,17,4,8,12,4,,,4,24,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003817,7,30,29,2,14,6,8,7,5,,,5,12,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003827,8,34,25,2,18,5,2,7,5,,,7,23,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003837,9,28,30,2,22,10,11,7,9,,,8,18,11
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003847,10,39,20,4,7,3,6,10,6,,,9,18,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003857,11,30,29,2,11,6,8,14,6,,,5,22,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003867,12,25,26,4,18,10,4,14,5,,,4,19,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003877,13,28,39,2,23,4,4,16,10,,,7,23,2
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003887,14,30,24,2,16,7,7,12,7,,,7,18,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003897,15,21,29,3,16,2,10,9,9,,,6,19,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003907,16,27,30,3,16,10,12,7,7,,,6,24,1
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003917,17,26,33,2,14,6,7,11,8,,,9,27,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003927,18,24,17,2,21,4,10,12,13,,,5,27,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003937,19,25,25,7,10,7,8,9,9,,,6,18,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003947,20,24,32,2,16,7,3,10,8,,,9,22,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003957,21,28,29,3,15,5,7,13,4,,,7,21,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003967,22,20,20,2,8,5,2,6,4,,,1,6,4
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001147,1,27,42,6,34,2,3,10,12,,,2,7,8
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001157,2,34,33,7,29,3,9,11,5,,,1,11,11
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001167,3,27,42,3,41,4,6,14,3,,,4,11,14
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001177,4,31,34,0,38,3,12,8,6,,,2,13,13
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001187,5,12,12,1,13,2,5,6,6,,,0,3,5
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000707,1,46,33,1,35,3,8,12,7,,,2,9,9
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000717,2,25,29,6,28,4,10,7,9,,,5,10,13
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000727,3,34,31,6,31,3,6,16,11,,,5,9,9
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000737,4,41,28,3,37,4,7,15,6,,,3,11,13
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000747,5,35,22,2,40,1,15,9,11,,,4,10,12
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000757,6,30,28,3,24,5,8,14,6,,,4,19,13
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000767,7,31,16,1,20,3,6,10,9,,,7,8,19
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000777,1,20,37,2,27,5,5,11,13,,,5,15,16
