CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE,LIBRE
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000541,13,,0,2,1,0,0,0,2,9,3
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002111,1,,14,23,4,12,2,7,15,81,14
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002121,2,,15,22,3,8,2,6,13,82,37
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002131,3,,17,19,1,5,3,3,10,87,29
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002141,4,,9,30,3,11,6,3,7,94,29
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002151,5,,15,20,7,7,2,5,18,84,29
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002161,6,,15,16,5,8,1,5,18,71,20
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002171,7,,12,23,4,11,3,5,14,83,24
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002181,8,,18,23,3,9,3,4,7,79,29
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002191,9,,14,22,3,8,8,3,15,92,26
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002201,10,,15,19,6,7,1,5,12,90,28
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002211,11,,9,27,3,6,4,5,13,91,21
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002221,12,,14,23,1,5,4,2,11,81,31
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002231,13,,16,23,2,7,6,3,7,73,21
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002241,14,,10,28,4,8,2,5,15,90,24
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002251,15,,13,21,1,5,3,5,11,90,22
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002261,16,,14,24,5,4,3,3,12,89,26
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002271,17,,17,19,3,6,3,8,9,90,19
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002281,18,,5,20,6,9,5,5,12,82,15
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002291,19,,11,26,2,7,2,0,16,83,27
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002301,20,,21,13,2,9,7,5,18,90,26
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002311,21,,19,20,2,4,3,8,14,81,21
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002321,22,,14,22,2,1,1,4,9,82,30
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002331,23,,12,18,2,8,5,10,7,86,32
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002341,24,,9,8,1,5,2,0,4,68,25
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000101,1,,17,17,6,5,5,8,12,81,23
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000111,2,,12,12,1,4,0,4,13,84,37
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000121,3,,24,15,2,1,2,4,7,80,37
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000131,4,,12,24,1,8,3,6,18,73,28
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000141,5,,10,26,1,4,2,2,15,67,28
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000151,6,,12,17,4,6,2,11,10,78,32
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000161,7,,26,16,7,3,5,2,3,83,34
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000171,8,,16,14,0,7,2,4,19,67,33
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000181,9,,22,23,3,6,4,3,12,73,34
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000191,10,,19,17,4,10,2,7,17,55,40
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000201,11,,19,18,0,2,3,9,10,76,34
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000211,12,,18,25,6,3,3,4,14,65,31
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000221,13,,18,12,4,5,2,3,16,80,33
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000231,14,,14,11,3,4,6,2,23,63,22
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000241,15,,10,25,2,11,5,4,14,61,29
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000251,16,,10,20,7,9,6,9,15,79,26
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000261,17,,15,7,3,2,4,4,11,51,21
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017481,1,,25,19,0,5,3,3,1,77,40
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017491,2,,12,13,4,7,4,5,7,64,40
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017501,3,,14,15,2,6,4,3,12,73,32
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017511,4,,14,15,1,6,4,8,7,73,43
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017521,5,,27,6,2,3,2,1,7,75,54
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017531,6,,14,16,1,3,1,1,11,86,42
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017541,7,,12,19,4,7,6,1,8,77,41
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017551,8,,19,12,1,6,3,3,5,80,43
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017561,9,,19,18,5,3,4,4,21,76,28
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017571,10,,18,13,6,5,6,4,10,75,33
1,Cercado,1,Cochabamba,821,Cochabamba,114,Instituto Americano,3020671,1,,12,12,1,7,10,5,5,86,31
