CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,NGP,APB-SUMATE,LIBRE,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002397,1,19,10,13,7,0,2,4,6,5,16,14,12,,,,,0,11,13,20,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002407,2,24,13,14,4,2,3,6,7,1,11,11,16,,,,,5,9,11,18,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002417,3,15,23,20,11,1,3,5,7,1,11,16,12,,,,,4,8,12,11,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002427,4,14,17,17,9,0,1,3,3,0,15,14,7,,,,,4,8,12,27,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002437,5,13,19,19,2,2,1,2,6,3,10,15,9,,,,,2,7,16,22,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002447,6,6,10,10,6,0,1,2,5,2,9,9,11,,,,,0,5,11,13,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001377,1,15,12,16,2,3,1,9,1,1,8,7,3,,,,,3,9,9,5,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001387,2,25,19,19,2,3,0,3,5,6,4,7,6,,,,,1,5,5,8,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001397,3,21,18,23,3,0,1,15,2,5,5,6,4,,,,,3,3,13,9,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001407,4,21,10,18,4,0,1,7,3,4,11,6,4,,,,,3,7,8,9,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001417,5,23,10,21,2,0,1,16,0,3,3,10,1,,,,,5,4,4,13,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001427,6,16,16,10,2,3,0,9,5,6,5,12,9,,,,,4,8,9,10,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001437,7,13,12,22,6,5,0,8,1,1,7,3,3,,,,,5,1,7,10,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001447,8,14,9,16,3,1,2,6,7,1,10,11,2,,,,,9,3,2,10,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002497,1,17,25,22,4,1,0,2,4,3,11,6,8,,,,,3,9,5,12,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002507,2,14,15,22,9,4,2,1,3,3,17,10,6,,,,,2,6,18,13,
