CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,GH,A-UPP,SPT,NGP,DEMOCRATAS,UN,FE,PATRIA-UNIDOS,UNIDOS,LIBRE,SOL,TODOS-,CREEMOS,PDC,PSC,VOS,ASIP,MTS,PC,APC,LIBRES,NPC,CAMPO,MN,APB-SUMATE,MATICO,VPT,SW,PP
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038237,11,,2,7,0,,2,2,6,4,,0,13,,3,10,126,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038247,12,,4,8,2,,1,1,12,2,,0,9,,0,12,151,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038257,13,,0,8,1,,3,1,9,2,,0,17,,0,3,105,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038267,14,,3,7,0,,3,5,11,5,,0,10,,0,16,130,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038277,15,,5,14,0,,4,2,16,2,,0,12,,0,14,126,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038287,16,,1,3,1,,2,2,9,1,,0,14,,2,7,138,0,4,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038297,17,,2,7,0,,3,1,8,2,,0,20,,0,16,129,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038307,18,,3,10,1,,5,4,9,1,,0,18,,1,9,134,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,7038317,19,,0,1,0,,0,1,1,0,,0,0,,0,1,18,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039467,1,,5,10,0,,4,1,15,3,,0,13,,0,13,137,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039477,2,,1,3,1,,6,3,6,1,,0,14,,0,13,155,0,2,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039487,3,,0,9,0,,1,1,14,3,,0,11,,0,7,142,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039497,4,,2,8,0,,4,1,9,1,,0,10,,2,24,127,0,2,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039507,5,,1,8,1,,3,2,14,0,,0,14,,0,16,136,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039517,6,,3,11,0,,6,0,12,2,,0,11,,0,9,150,0,3,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039527,7,,3,6,2,,3,2,11,3,,0,16,,2,14,136,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039537,8,,1,10,0,,4,2,12,2,,0,7,,0,13,145,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039547,9,,0,3,0,,3,2,16,3,,0,10,,0,12,147,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039557,10,,1,6,0,,6,4,13,3,,0,13,,1,16,114,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039567,11,,6,6,2,,2,1,8,5,,0,14,,0,17,128,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039577,12,,1,6,0,,2,2,11,2,,0,12,,1,16,135,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039587,13,,0,7,1,,5,1,12,2,,0,21,,0,4,146,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039597,14,,0,5,4,,2,2,9,1,,0,7,,2,15,153,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039607,15,,0,7,1,,5,1,8,0,,0,13,,0,7,160,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039617,16,,2,8,2,,4,1,8,4,,0,15,,1,13,136,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039627,17,,0,13,1,,7,1,10,5,,0,7,,0,13,139,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039637,18,,2,10,0,,6,5,7,3,,0,14,,2,9,145,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039647,19,,0,10,0,,4,9,8,4,,0,8,,0,19,140,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039657,20,,4,8,1,,5,1,5,0,,0,10,,1,14,145,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039667,21,,0,8,0,,3,0,11,15,,0,5,,0,0,157,0,2,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039677,22,,5,14,2,,5,0,7,0,,0,10,,1,14,141,0,2,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,7039687,23,,3,5,1,,2,2,6,2,,0,6,,0,8,117,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039027,1,,5,6,0,,1,2,18,3,,0,10,,3,16,120,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039037,2,,1,9,1,,2,2,17,4,,0,20,,0,13,124,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039047,3,,4,13,0,,3,7,7,3,,0,17,,2,18,120,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039057,4,,3,8,0,,5,1,16,2,,0,18,,0,16,131,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039067,5,,5,11,0,,3,4,22,2,,0,19,,0,17,115,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039077,6,,3,2,0,,7,2,13,3,,0,15,,2,18,109,0,0,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039087,7,,6,7,4,,3,5,22,3,,0,24,,0,18,108,0,4,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039097,8,,1,7,0,,5,0,10,1,,0,17,,2,18,113,0,1,,,,,,,,,,,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,7039107,9,,2,13,1,,1,3,14,0,,0,18,,0,26,109,0,1,,,,,,,,,,,
