CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,MTS,FRI,SPBC,ASLP,APB-SUMATE,M.P.S.,A-UPP,UPC,ASP,VIDA,LIBRE,NGP
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013231,1,4,39,6,26,27,7,2,6,20,4,3,6,6,3,12,14,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013241,2,4,16,9,27,45,9,2,11,22,3,3,2,5,1,7,14,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013251,3,3,13,9,14,38,15,5,2,17,5,6,2,6,4,9,9,15
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013261,4,3,9,9,19,34,16,4,9,20,1,5,7,8,0,4,8,11
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013271,5,2,23,6,25,50,6,4,3,12,4,3,0,4,3,7,20,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013281,6,2,26,4,28,44,11,2,3,17,5,3,2,7,1,5,14,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013291,7,4,23,11,26,32,14,2,7,26,3,2,4,5,3,6,13,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013301,8,2,25,7,28,25,7,3,6,9,7,5,5,11,2,12,11,13
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013311,9,3,22,5,36,45,10,3,7,14,5,3,3,1,1,7,15,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013321,10,2,36,5,22,43,10,2,6,23,4,2,2,8,3,15,9,11
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013331,11,2,17,9,33,43,15,1,4,25,8,5,2,10,4,3,5,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013341,12,4,21,7,1,19,40,10,2,8,15,4,2,10,3,9,23,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013351,13,6,15,7,25,39,6,4,0,18,6,1,5,8,3,10,24,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013361,14,4,16,3,27,40,14,3,4,18,6,3,1,12,3,8,15,11
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013371,15,2,8,2,3,13,4,0,2,4,1,2,0,1,1,0,6,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012681,1,2,20,9,19,62,8,1,6,16,2,6,6,4,2,3,22,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012691,2,2,31,0,13,62,13,2,4,16,5,2,1,5,7,6,17,8
